id;foreststeppe;country;locality;N;E; ультурологическа€ периодика;јрхеологическое датирование;ћиграции;Economy;time.low;time.up;period;ѕор€док периодов;holocene;variable;n.species;n.bones
1;Pannonskaia;Hungaria;Tiszaszollos-Csakanyszeg;48,023;21,025;;;;1;7000;7000;AT1;1;middle;numeric;1;1
2;Pannonskaia;Hungaria;Roszke-Ludvar;46,186;20,034;;;;1;8000;7000;AT1;1;middle;numeric;4;508
3;Pannonskaia;Hungaria;Gyalaret;46,207;20,106;;;;1;8000;7000;AT1;1;middle;numeric;4;74
4;Pannonskaia;Hungaria;Ecsegfalva 23;47,15;20,92;n1;;;1;8000;7300;AT1;1;middle;numeric;4;287
5;Pannonskaia;Hungaria;Kiskore;47,501;20,492;;;;1;7000;6000;AT1-2;2;middle;numeric;3;23
6;Pannonskaia;Hungaria;Devavanya-Sarto;47,067;20,861;;;;1;7000;6000;AT1-2;2;middle;numeric;4;50
7;Pannonskaia;Hungaria;Tiszaluc-Valyogos;48,063;21,084;;;;1;7000;6000;AT1-2;2;middle;numeric;4;9
8;Pannonskaia;Hungaria;Polgar-Csoszhalom;47,867;21,117;n2;;;1;7300;6500;AT1-2;2;middle;numeric;4;1635
9;Pannonskaia;Hungaria;Bekasmegyer-Voros Csillag TSz;47,461;19,031;n;;;1;8000;6500;AT1-2;2;middle;numeric;3;33
10;Pannonskaia;Hungaria;Bekasmegyer;47,595;19,052;n;;;1;8000;6500;AT1-2;2;middle;numeric;3;9
11;Pannonskaia;Hungaria;Jaszbereny-Cserohalom;47,41;19,914;n;;;1;8000;6500;AT1-2;2;middle;numeric;2;2
12;Pannonskaia;Hungaria;Tiszavasvari-Keresztfal;48;20,686;n;;;1;8000;6500;AT1-2;2;middle;numeric;2;3
13;Pannonskaia;Hungaria;Aszod-Papi foldek;47,659;19,461;e`1;;;1;6500;5300;AT2-3;4;middle;numeric;4;1108
14;Pannonskaia;Hungaria;Kenderes-Kulis;47,277;20,649;e`1;;;1;6500;5300;AT2-3;4;middle;numeric;3;18
15;Pannonskaia;Hungaria;Kenderes-Telekhalom;47,3;20,7;e`1;;;1;6500;5300;AT2-3;4;middle;numeric;3;13
