"","id","spec","num","log1","freq","freqlog","bin"
"1",1,"Благородный",0,"0","0","0",0
"2",1,"Большерогий",0,"0","0","0",0
"3",1,"Зубр",0,"0","0","0",0
"4",1,"Кабан",0,"0","0","0",0
"5",1,"Кабарга",0,"0","0","0",0
"6",1,"Косуля",1,"0,693147181","1","1",1
"7",1,"Кулан",0,"0","0","0",0
"8",1,"Лось",0,"0","0","0",0
"9",1,"Сайгак",0,"0","0","0",0
"10",1,"Северный",0,"0","0","0",0
"11",1,"Тур",0,"0","0","0",0
"12",2,"Благородный",307,"5,730099783","0,604330709","0,3121203",1
"13",2,"Большерогий",0,"0","0","0",0
"14",2,"Зубр",0,"0","0","0",0
"15",2,"Кабан",75,"4,33073334","0,147637795","0,235896379",1
"16",2,"Кабарга",0,"0","0","0",0
"17",2,"Косуля",54,"4,007333185","0,106299213","0,218280673",1
"18",2,"Кулан",0,"0","0","0",0
"19",2,"Лось",0,"0","0","0",0
"20",2,"Сайгак",0,"0","0","0",0
"21",2,"Северный",0,"0","0","0",0
"22",2,"Тур",72,"4,290459441","0,141732283","0,233702647",1
"23",3,"Благородный",11,"2,48490665","0,148648649","0,217962653",1
"24",3,"Большерогий",0,"0","0","0",0
"25",3,"Зубр",0,"0","0","0",0
"26",3,"Кабан",37,"3,63758616","0,5","0,319069503",1
"27",3,"Кабарга",0,"0","0","0",0
"28",3,"Косуля",13,"2,63905733","0,175675676","0,231483922",1
"29",3,"Кулан",0,"0","0","0",0
"30",3,"Лось",0,"0","0","0",0
"31",3,"Сайгак",0,"0","0","0",0
"32",3,"Северный",0,"0","0","0",0
"33",3,"Тур",13,"2,63905733","0,175675676","0,231483922",1
"34",4,"Благородный",32,"3,496507561","0,111498258","0,212769123",1
"35",4,"Большерогий",0,"0","0","0",0
"36",4,"Зубр",0,"0","0","0",0
"37",4,"Кабан",35,"3,583518938","0,12195122","0,21806393",1
"38",4,"Кабарга",0,"0","0","0",0
"39",4,"Косуля",82,"4,418840608","0,285714286","0,26889484",1
"40",4,"Кулан",0,"0","0","0",0
"41",4,"Лось",0,"0","0","0",0
"42",4,"Сайгак",0,"0","0","0",0
"43",4,"Северный",0,"0","0","0",0
"44",4,"Тур",138,"4,934473933","0,480836237","0,300272107",1
"45",5,"Благородный",0,"0","0","0",0
"46",5,"Большерогий",0,"0","0","0",0
"47",5,"Зубр",0,"0","0","0",0
"48",5,"Кабан",10,"2,397895273","0,434782609","0,37331513",1
"49",5,"Кабарга",0,"0","0","0",0
"50",5,"Косуля",6,"1,945910149","0,260869565","0,302948051",1
"51",5,"Кулан",0,"0","0","0",0
"52",5,"Лось",0,"0","0","0",0
"53",5,"Сайгак",0,"0","0","0",0
"54",5,"Северный",0,"0","0","0",0
"55",5,"Тур",7,"2,079441542","0,304347826","0,323736819",1
"56",6,"Благородный",34,"3,555348061","0,68","0,393465381",1
"57",6,"Большерогий",0,"0","0","0",0
"58",6,"Зубр",0,"0","0","0",0
"59",6,"Кабан",4,"1,609437912","0,08","0,178114235",1
"60",6,"Кабарга",0,"0","0","0",0
"61",6,"Косуля",7,"2,079441542","0,14","0,230128877",1
"62",6,"Кулан",0,"0","0","0",0
"63",6,"Лось",0,"0","0","0",0
"64",6,"Сайгак",0,"0","0","0",0
"65",6,"Северный",0,"0","0","0",0
"66",6,"Тур",5,"1,791759469","0,1","0,198291506",1
"67",7,"Благородный",2,"1,098612289","0,222222222","0,24414639",1
"68",7,"Большерогий",0,"0","0","0",0
"69",7,"Зубр",0,"0","0","0",0
"70",7,"Кабан",2,"1,098612289","0,222222222","0,24414639",1
"71",7,"Кабарга",0,"0","0","0",0
"72",7,"Косуля",1,"0,693147181","0,111111111","0,154039222",1
"73",7,"Кулан",0,"0","0","0",0
"74",7,"Лось",0,"0","0","0",0
"75",7,"Сайгак",0,"0","0","0",0
"76",7,"Северный",0,"0","0","0",0
