"","Acantholycosa lignaria","Agroeca brunnea","Agroeca cuprea","Agroeca lusatica","Alopecosa aculeata","Alopecosa cuneata","Alopecosa fabrilis","Alopecosa inquilina","Alopecosa pinetorum","Alopecosa pulverulenta","Alopecosa solitaria","Alopecosa sulzeri","Antistea elegans","Arctosa leopardus","Argenna subnigra","Aulonia albimana","Callilepis nocturna","Cercidia prominens","Dolomedes fimbriatus","Drassodes pubescens","Drassyllus lutetianus","Drassyllus praeficus","Drassyllus pusillus","Euryopis flavomaculata","Gnaphosa bicolor","Gnaphosa montana","Hahnia ononidum","Hahnia pusilla","Hahnia ssp266","Haplodrassus cognatus","Haplodrassus signifer","Haplodrassus silvestris","Haplodrassus soerenseni","Haplodrassus umbratilis","Hygrolycosa rubrofasciata","Liocranoeca striata","Micaria fulgens","Micaria pulicaria","Micaria silesiaca","Ozyptila atomaria","Ozyptila praticola","Pachygnatha degeeri","Pachygnatha listeri","Pardosa agrestis","Pardosa alacris","Pardosa fulvipes","Pardosa lugubris","Pardosa maisa","Pardosa riparia","Pardosa paludicola","Pardosa sphagnicola","Phrurolithus festivus","Pirata piscatorius","Pirata tenuitarsis","Pirata uliginosa","Piratula hygrophila","Robertus lividus","Steatoda albomaculata","Stemonyphantes lineatus","Thanatus formicinus","Thanatus sabulosus","Thanatus striatus","Titanoeca spominima","Tricca lutetiana","Trochosa ruricola","Trochosa spinipalpis","Trochosa terricola","Xerolycosa miniata","Xerolycosa nemoralis","Xysticus cambridgei","Xysticus cristatus","Xysticus lineatus","Xysticus luctuosus","Xysticus ulmi","Xysticus viduus","Zelotes azsheganovae","Zelotes clivicola","Zelotes electus","Zelotes exiguus","Zelotes latreillei","Zelotes longipes","Zelotes petrensis","Zelotes subterraneus","Zora nemoralis","Zora ?pardalis","Zora spinimana"
"sample_id 1",0,1.3,0,0,0,0.149253731343284,0,0,0,0.8,0,0,0.298507462686567,0,0,0,0,0.1,0,0,0.597014925373134,0.9,0.149253731343284,0.298507462686567,0,0,0,0,0,0,0.298507462686567,0,0.9,0,0.7,0.149253731343284,0,0,0,0,0,0,1.6,0,0,0,6.7,0,0,0,1.1,0.298507462686567,0.298507462686567,0.149253731343284,0.447761194029851,1.9,0,0,0,0,0,0,0,0,0,0.149253731343284,2.8,0,2.1,0,0,0,0.447761194029851,0,0,0.149253731343284,0.9,0,0,0,0.4,0,0.6,0,0,0.149253731343284
"sample_id 2",0.5,0.2,0,0,9.7,0,0,0,0,0.5,0,2.9,0,0,0,0,0.461538461538462,0,0,0,0,2.3,0.307692307692308,0,5.3,0.2,0,0,0,0,0.6,0,0,3.2,0,0,0.153846153846154,0,0.4,1,0,0,0,0,0.153846153846154,0,6.6,0,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0.153846153846154,0.307692307692308,0,0,0,0,0,0.8,0,34.3,0.461538461538462,0.153846153846154,0.4,0,0,0,0.307692307692308,0,0,0,0,0,0,1.8,0,0,0.4
"sample_id 3",0,0,0,0,0.615384615384615,0,0,0,0,0.9,0,0.615384615384615,0,0.307692307692308,0,0,0.615384615384615,0,0.307692307692308,0,0.9,0.307692307692308,0.3,0,0,0,0,0,0,0,0.923076923076923,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0.615384615384615,0.615384615384615,0.615384615384615,0,0.3,0,2.8,0,0.3,0.307692307692308,0,0,0,0.307692307692308,0,0,0,0,0,0,0,0,0.307692307692308,0.615384615384615,6.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.307692307692308
"sample_id 4",0.5,0,0,0,1.1,0.153846153846154,0,0,0,0,0,0.307692307692308,0,0,0,0,0.5,0.4,0,0,0,0.8,0,0.307692307692308,1.3,0,0,0,0,0,1.9,0,0,1.1,0,0,0.4,0,0.461538461538462,0,0,0,0.153846153846154,0,4.3,0,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0,0,0.153846153846154,0.153846153846154,0.153846153846154,0,0,0,0,0.5,0.153846153846154,8.2,0.461538461538462,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0,0,0,0,0.307692307692308
"sample_id 5",0,0.149253731343284,0,0,0.298507462686567,1.19402985074627,0,0,0,0.746268656716418,0,0,0,0,0,0,0.298507462686567,0,0,0,0.149253731343284,0.2,0,0,3.5,0,0,0,0,0,1.6,0,0.895522388059702,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.149253731343284,0,0,0.2,0,0,0,0,0.149253731343284,0,0,0,0,0,0,0,0.149253731343284,0,2.1,0.149253731343284,7.2,0,0,0,0,0,0,0,0.746268656716418,0.1,0,0,0,0.298507462686567,0,0,0,0
"sample_id 6",0.4,0,0,0,1.3,0,0,0,0,0.461538461538462,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0.4,0.153846153846154,0,0.307692307692308,0,0,0,0,0,1.1,0,0,0.923076923076923,0,0,0,0.153846153846154,0.153846153846154,0,0,0,0,0,8.8,0,0.461538461538462,0,0,0,0,0.4,0,0,0,0,0,0,0,0.153846153846154,0.153846153846154,0.153846153846154,0,0,0,0,0.8,0,0.769230769230769,0,0,0,0,0.153846153846154,0,0,0.2,0,0,0,0,0,0.6,0,0,0
"sample_id 7",0.4,0,0,0,0.153846153846154,0,0,0,0,1.7,0,0,0,0,0,0.4,0.153846153846154,0.153846153846154,0,0,0,1.5,0.153846153846154,0,2.9,0.769230769230769,0,0,0,0,1.9,0,0,2.3,0,0,0.153846153846154,0,0.153846153846154,0.2,0,0,0,0,13.1,0,2.46153846153846,0,0,0,0,0.307692307692308,0,0,0,0,0,0,0,0.153846153846154,0,0,0,0,0,0,1.5,0,35.5,0,0,0,0.153846153846154,0,0,0,0.153846153846154,0.8,0,0,0,0,0.4,0,0,0
"sample_id 8",0,1.8,0,0,5.55555555555556,0.2,0,0.2,0,0,0,0,0,0,0,1.6,0,0.888888888888889,0,0,0,0,0.444444444444444,0,4,0.222222222222222,0,0,0.4,0,0.8,0.222222222222222,0,3.6,0,0,0.444444444444444,0,0,0.444444444444444,0,0.222222222222222,0,0,22.4,0,1.77777777777778,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.8,0.222222222222222,1.1,2.5,0.2,0,0.222222222222222,0,0.6,0,0,0,0,0,0.222222222222222,0,4.4,0,0,0
"sample_id 9",1.7,2.5,0,0.222222222222222,1.8,0.666666666666667,0,0,0,0.4,0,0,0,0,0.222222222222222,1.6,0,0.6,0,0,0,0,0.222222222222222,0,5.1,0,0,0.444444444444444,0.6,0,0.6,0,0,2.5,0,0,0.222222222222222,0.222222222222222,0,0.444444444444444,0,0,1.1,0,36.2,0,1.8,0,0,0,0,0.2,0,0,0,0,0,0,0.444444444444444,0,0,0,0,0,0,0,44,0,3.8,3.9,0,0,0.444444444444444,0,0,0,0,0.222222222222222,0,0,0.4,0.2,5.8,0,0.222222222222222,0
"sample_id 10",0,0.212765957446809,0,0,13.2,0,0,0,0,0,0,0,0,0,0.212765957446809,0,0,1.1,0,0,0,0,0,0,2.8,0.212765957446809,0.851063829787234,0,0.425531914893617,0,1.9,0,0,2.3,0,0,0.212765957446809,0,0,0.638297872340425,0,0,0,0,22.3,0,1.06382978723404,0,0,0,0,0,0,0,0,0,0.212765957446809,0,0,0,0,0,0,0,0,0,18.7,0,2.1,1.06382978723404,0.2,0,0,0,0,0,0.8,0,0,0,0,0.212765957446809,4.9,0,0,0
