"","sample_id","kv","date.exact","Date","date.m","trap.days","start.month","fire.type","fire_intencity","edificator","forest.age","shrub","herbs.covering","dominating.herbs","litter","dry.woods","hydrothermic","lov.sut","n.ind.total","n.100ls"
"1","sample_id 1","114","12.V-19.VII.2016","V-VII.2016","V-VII",670,"5","mix(control.and.fire)",2,"Betula",1,"weak","3+","multiherbaceous",1,"middle","bog",670,204,30.4477611940299
"2","sample_id 2","275","V-VII.2016","V-VII.2016","V-VII",650,"5","up.fire",3,"Betula",2,"absent","3+","Epilobium",1,"expressed","upland",650,498,76.6153846153846
"3","sample_id 3","278","V-VII.2016","V-VII.2016","V-VII",325,"5","up.fire",3,"Betula",1,"absent","3+","Epilobium&Rubus",1,"expressed","upland",325,75,23.0769230769231
"4","sample_id 4","302","V-VII.2016","V-VII.2016","V-VII",650,"5","up.fire",3,"Betula",2,"absent","3+","Epilobium",1,"expressed","upland",650,163,25.0769230769231
"5","sample_id 5","319","12.V-19.VII.2016","V-VII.2016","V-VII",670,"5","mix(control.and.fire)",2,"Betula",1,"weak","3+","multiherbaceous",1,"middle","bog",670,145,21.6417910447761
"6","sample_id 6","329","V-VII.2016","V-VII.2016","V-VII",650,"5","up.fire",4,"Betula",1,"absent","3+","Epilobium",1,"expressed","upland",650,124,19.0769230769231
"7","sample_id 7","331","V-VII.2016","V-VII.2016","V-VII",650,"5","up.fire",4,"Betula",1,"absent","3+","Epilobium",1,"expressed","upland",650,461,70.9230769230769
"8","sample_id 8","357&382","IV-VI.2016","IV-VI.2016","IV-VI",450,"4","control",0,"Pinus",3,"weak","3+","multiherbaceous",3,"weak","upland",450,494,109.777777777778
"9","sample_id 9","357&382","IV-VI.2016","IV-VI.2016","IV-VI",450,"4","up.fire",4,"Nothing",0,"absent","1","nothing",1,"expressed","upland",450,646,143.555555555556
"10","sample_id 10","358","IV-VI.2016","IV-VI.2016","IV-VI",470,"4","control",0,"Pinus",4,"absent","3+","Poacea",4,"weak","upland",470,410,87.2340425531915
"11","sample_id 11","358","IV-VII.2016","IV-VII.2016","IV-VII",650,"NA","control.near.fire(0or4)",0,"Pinus",4,"absent","1","nothing",3,"weak","upland",650,126,19.3846153846154
"12","sample_id 12","358","V-VII.2016","V-VII.2016","V-VII",520,"5","up.fire",4,"Nothing",0,"absent","1","nothing",1,"expressed","upland",520,294,56.5384615384615
"13","sample_id 13","358","IV-VI.2016","IV-VI.2016","IV-VI",470,"4","down.fire",2,"Pinus",3,"weak","3+","multiherbaceous",1,"middle","upland",470,698,148.510638297872
"14","sample_id 14","361","V-VII.2016","V-VII.2016","V-VII",570,"5","control",0,"Pinus",4,"weak","3+","multiherbaceous",3,"weak","upland",570,277,48.5964912280702
"15","sample_id 15","361","V-VII.2016","V-VII.2016","V-VII",513,"5","down.fire",2,"Betula",2,"weak","3+","multiherbaceous",1,"middle","upland",513,198,38.5964912280702
"16","sample_id 16","362&386","V-VI.2016","V-VI.2016","V-VI",613,"5","control",0,"Pinus",4,"weak","3+","Poacea",3,"weak","upland",613,172,28.0587275693312
"17","sample_id 17","362&386","V-VII.2016","V-VII.2016","V-VII",456,"5","down.fire",2,"Pinus",3,"weak","3+","Epilobium",1,"middle","upland",456,155,33.9912280701754
"18","sample_id 18","383","IV-VI.2016","IV-VI.2016","IV-VI",364,"4","up.fire",3,"Betula",2,"absent","3+","Epilobium",1,"expressed","bog",364,181,49.7252747252747
"19","sample_id 19","383","IV-VI.2016","IV-VI.2016","IV-VI",520,"4","control",0,"Pinus",4,"weak","3+","Poacea",3,"weak","bog",520,468,90
"20","sample_id 20","383","V-VII.2016","V-VII.2016","V-VII",650,"5","control",0,"Pinus",4,"expressed","3+","Poacea&Convallaria",4,"weak","bog",650,327,50.3076923076923
"21","sample_id 21","404&405","V-VII.2016","V-VII.2016","V-VII",285,"5","control",0,"Pinus",3,"weak","3+","multiherbaceous",3,"weak","upland",285,238,83.5087719298246
"22","sample_id 22","404&405","V-VII.2016","V-VII.2016","V-VII",228,"5","down.fire",2,"Betula",1,"weak","3+","Epilobium&Rubus",1,"middle","upland",228,263,115.350877192982
"23","sample_id 23","405&380","V-VII.2016","V-VII.2016","V-VII",456,"5","down.fire",1,"Betula",2,"weak","3+","Poacea",2,"middle","upland",456,245,53.7280701754386
"24","sample_id 24","409","IV-VI.2016","IV-VI.2016","IV-VI",520,"4","control",0,"Pinus",4,"weak","3+","Poacea",3,"weak","upland",520,747,143.653846153846
"25","sample_id 25","409","IV-VI.2016","IV-VI.2016","IV-VI",468,"4","down.fire",2,"Betula",1,"absent","3+","Epilobium",1,"middle","upland",468,331,70.7264957264957
"26","sample_id 26","430&431","V-VII.2016","V-VII.2016","V-VII",523,"5","down.fire",1,"Betula",2,"weak","3+","multiherbaceous",1,"middle","bog",523,341,65.2007648183556
"27","sample_id 27","430&431","V-VII.2016","V-VII.2016","V-VII",522,"5","control",0,"Pinus",4,"expressed","3+","multiherbaceous",4,"weak","bog",522,169,32.3754789272031
