"taxa" "day" "hour" "count"
"1" "spiders" 7 4 0
"2" "spiders" 7 4 0
"3" "spiders" 7 4 0
"4" "spiders" 7 4 0
"5" "spiders" 7 4 1
"6" "spiders" 7 4 0
"7" "spiders" 7 4 1
"8" "spiders" 7 4 2
"9" "spiders" 7 4 0
"10" "spiders" 7 4 0
"11" "spiders" 7 4 1
"12" "spiders" 7 4 2
"13" "spiders" 7 4 0
"14" "coll" 7 4 12
"15" "coll" 7 4 10
"16" "coll" 7 4 13
"17" "coll" 7 4 10
"18" "coll" 7 4 2
"19" "coll" 7 4 3
"20" "coll" 7 4 1
"21" "coll" 7 4 9
"22" "coll" 7 4 9
"23" "coll" 7 4 15
"24" "coll" 7 4 22
"25" "coll" 7 4 30
"26" "coll" 7 4 13
"27" "aca" 7 4 1
"28" "aca" 7 4 0
"29" "aca" 7 4 0
"30" "aca" 7 4 1
"31" "aca" 7 4 2
"32" "aca" 7 4 0
"33" "aca" 7 4 4
"34" "aca" 7 4 11
"35" "aca" 7 4 6
"36" "aca" 7 4 0
"37" "aca" 7 4 2
"38" "aca" 7 4 3
"39" "aca" 7 4 1
"40" "dipt" 7 4 4
"41" "dipt" 7 4 1
"42" "dipt" 7 4 1
"43" "dipt" 7 4 0
"44" "dipt" 7 4 1
"45" "dipt" 7 4 3
"46" "dipt" 7 4 2
"47" "dipt" 7 4 1
"48" "dipt" 7 4 2
"49" "dipt" 7 4 0
"50" "dipt" 7 4 0
"51" "dipt" 7 4 0
"52" "dipt" 7 4 2
"53" "spiders" 7 8 0
"54" "spiders" 7 8 0
"55" "spiders" 7 8 0
"56" "spiders" 7 8 0
"57" "spiders" 7 8 0
"58" "spiders" 7 8 0
"59" "spiders" 7 8 0
"60" "spiders" 7 8 0
"61" "spiders" 7 8 1
"62" "spiders" 7 8 0
"63" "spiders" 7 8 0
"64" "spiders" 7 8 0
"65" "spiders" 7 8 0
"66" "coll" 7 8 33
"67" "coll" 7 8 36
"68" "coll" 7 8 39
"69" "coll" 7 8 18
"70" "coll" 7 8 8
"71" "coll" 7 8 8
"72" "coll" 7 8 25
"73" "coll" 7 8 41
"74" "coll" 7 8 39
"75" "coll" 7 8 38
"76" "coll" 7 8 21
"77" "coll" 7 8 46
"78" "coll" 7 8 45
"79" "aca" 7 8 0
"80" "aca" 7 8 0
"81" "aca" 7 8 1
"82" "aca" 7 8 0
"83" "aca" 7 8 0
"84" "aca" 7 8 0
"85" "aca" 7 8 1
"86" "aca" 7 8 1
"87" "aca" 7 8 0
"88" "aca" 7 8 0
"89" "aca" 7 8 0
"90" "aca" 7 8 1
"91" "aca" 7 8 0
"92" "dipt" 7 8 2
"93" "dipt" 7 8 1
"94" "dipt" 7 8 2
"95" "dipt" 7 8 1
"96" "dipt" 7 8 0
"97" "dipt" 7 8 0
"98" "dipt" 7 8 0
"99" "dipt" 7 8 0
"100" "dipt" 7 8 2
"101" "dipt" 7 8 1
"102" "dipt" 7 8 1
"103" "dipt" 7 8 3
"104" "dipt" 7 8 1
"105" "spiders" 7 12 2
"106" "spiders" 7 12 0
"107" "spiders" 7 12 0
"108" "spiders" 7 12 0
"109" "spiders" 7 12 1
"110" "spiders" 7 12 2
"111" "spiders" 7 12 1
"112" "spiders" 7 12 0
"113" "spiders" 7 12 1
"114" "spiders" 7 12 2
"115" "spiders" 7 12 0
"116" "spiders" 7 12 0
"117" "spiders" 7 12 1
"118" "coll" 7 12 33
"119" "coll" 7 12 27
"120" "coll" 7 12 32
"121" "coll" 7 12 13
"122" "coll" 7 12 6
"123" "coll" 7 12 5
"124" "coll" 7 12 8
"125" "coll" 7 12 26
"126" "coll" 7 12 41
"127" "coll" 7 12 22
"128" "coll" 7 12 13
"129" "coll" 7 12 38
"130" "coll" 7 12 24
"131" "aca" 7 12 0
"132" "aca" 7 12 0
"133" "aca" 7 12 0
"134" "aca" 7 12 0
"135" "aca" 7 12 1
"136" "aca" 7 12 0
"137" "aca" 7 12 0
"138" "aca" 7 12 0
"139" "aca" 7 12 0
"140" "aca" 7 12 0
"141" "aca" 7 12 0
"142" "aca" 7 12 0
